ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
035201712030005162,Bergamo, VIA PIATTI all'intersezione semaforizzata con VIA BORGO PALAZZO,,,,"(45.6946, 9.6886)"
035201712021210163,Bergamo, VIA F.LLI BANDIERA in prossimità del civico n.34,,,,"(45.6764, 9.6371)"
035201712021340164,Bergamo, ROTATORIA AUTOSTRADA all'intersezione con VIA DE SAUSSURE,,,,"(45.6983, 9.6773)"
035201712021430165,Bergamo, VIA BORGO PALAZZO rotatoria con laterale dx SLunga,,,,"(45.6887, 9.7095)"
035201712021950166,Bergamo, S.P. 671 in corrispondenza della chilometrica3,,,,"(45.6748, 9.6798)"
035201712022115167,Bergamo, ROTONDA DEI MILLE all'intersezione con VIA CRISPI F.,,,,"(45.6953, 9.6671)"
035201712021825168,Bergamo, VIA BONOMELLI G. in prossimità del civico n.13,,,,"(45.6897, 9.6718)"
035201712021315169,Bergamo, VIA QUATTRO NOVEMBRE in corrispondenza del civico n.36/38,,,,"(45.6957, 9.6549)"
035201712011930170,Bergamo, CIRCONV. MUGAZZONE in corrispondenza del palo luce n.C 31,,,,"(45.6833, 9.6802)"
035201712010840171,Bergamo, VIA BOCCALEONE fronte poste,,,,"(45.6873, 9.6877)"
035201712011230172,Bergamo, VIA CARDUCCI G. controstrada dir. curno uscita auchan,,,,"(45.6893, 9.6494)"
035201712010745173,Bergamo, VIA SUARDI all'intersezione semaforizzata con VIA NOLI,,,,"(45.7022, 9.6815)"
035201711301215174,Bergamo, VIA MORONI GIANBATTISTA in prossimità del civico n.372,,,,"(45.6821, 9.6542)"
035201711300900175,Bergamo, V.LE GIULIO CESARE in prossimità del civico n.15,,,,"(45.7075, 9.6805)"
035201711301500176,Bergamo, VIA BORGO PALAZZO all'intersezione con VIA BONO B.,,,,"(45.6958, 9.6838)"
035201711300930177,Bergamo, VIA FRIZZONI all'intersezione semaforizzata con VIA PIGNOLO,,,,"(45.6983, 9.6774)"
035201711290905178,Bergamo, VIA PETRARCA all'intersezione semaforizzata con VIA LOCATELLI,,,,"(45.6973, 9.6699)"
035201711290727179,Bergamo, VIA MAJ in prossimità del civico n.29/d,,,,"(45.6953, 9.6819)"
035201711290820180,Bergamo, VIA PIATTI in prossimità del civico n.8A,,,,"(45.6933, 9.6883)"
035201711291400181,Bergamo, VIA DELLA GRUMELLINA in prossimità del palo luce n.3,,,,"(45.6761, 9.6523)"
035201711291245182,Bergamo, VIA BORGO PALAZZO in prossimità del civico n.116,,,,"(45.694, 9.6919)"
035201711291800183,Bergamo, CIRCONVALLAZIONE PALTRINIANO in prossimità del palo luce n.7,,,,"(45.6784, 9.672)"
035201711291830184,Bergamo, VIA ZANICA altezza arti Grafiche,,,,"(45.6717, 9.6743)"
035201711292345185,Bergamo, VIA CODUSSI M. in corrispondenza del civico n.19/A,,,,"(45.7021, 9.6848)"
035201711290910186,Bergamo, VIA BRIANTEA palo illuminazione pubblica 28,,,,"(45.6894, 9.6388)"
035201711291905187,Bergamo, VIA RUGGERI DA STABELLO in corrispondenza del civico n.19,,,,"(45.7152, 9.6657)"
035201711290800188,Bergamo, VIA SAN BERNARDINO in prossimità del civico n.32,,,,"(45.691, 9.6637)"
035201711292010189,Bergamo, VIA BROSETA in prossimità del civico n.67,,,,"(45.6933, 9.6546)"
035201711281640190,Bergamo, VIA SAN GIOVANNI BOSCO all'intersezione semaforizzata con VIA LUZZATTI,,,,"(45.6848, 9.6752)"
035201711282200191,Bergamo, Via SANT'ANTONINO in prossimità del civico n.3/B,,,,"(45.6931, 9.6619)"
035201711281350192,Bergamo, Via per Orio all'intersezione con ROTATORIA VIA PER ORIO,,,,"(45.6802, 9.6812)"
035201711281235193,Bergamo, VIA BROSETA all'intersezione con VIA BRIGATA ,,,,"(45.6935, 9.6531)"
035201711281605194,Bergamo, VIALE VITTORIO EMANUELE II in prossimità del civico n.79,,,,"(45.7029, 9.6722)"
035201711281605195,Bergamo, Circonvallazione delle Valli possimità via Gleno dir.Valli,,,,"(45.7012, 9.696)"
035201711271835196,Bergamo, PIAZZALE OBERDAN GUGLIELMO all'intersezione semaforizzata con VIA BORGO SANTA CATERINA,,,,"(45.704, 9.6777)"
035201711270830197,Bergamo, VIA BUTTARO entrata parcheggio Monterosso,,,,"(45.7122, 9.6866)"
035201711271540198,Bergamo, V.LE VITTORIO EMANUELE all'intersezione semaforizzata con VIA PETRARCA,,,,"(45.6963, 9.6683)"
035201711271630199,Bergamo, VIA CORRENTI C. in prossimità del distributore ESSO,,,,"(45.7064, 9.6985)"
035201711272355200,Bergamo, VIA CELADINA all'intersezione con VIA MONTE MENNA,,,,"(45.6917, 9.7113)"
035201711271550201,Bergamo, VIA ZANICA in corrispondenza del civico n.45,,,,"(45.6821, 9.6728)"
035201711260005202,Bergamo, VIA BORGO PALAZZO all'intersezione semaforizzata con VIA PIZZO RECASTELLO,,,,"(45.6913, 9.7004)"
035201711261230203,Bergamo, VIA SAN BERNARDINO all'intersezione con VIA GALLI,,,,"(45.6808, 9.6618)"
035201711261515204,Bergamo, VIA CARDUCCI G. all'intersezione semaforizzata con VIA MORONI GIANBATTISTA,,,,"(45.6881, 9.6601)"
035201711251020205,Bergamo, SS671 in corrispondenza della chilometrica3.9,,,,"(45.6755, 9.6472)"
035201711250755206,Bergamo, VIA SUARDI all'intersezione semaforizzata con VIA NOLI,,,,"(45.7022, 9.6814)"
